,자치구별,인구소계,봉사활동 등록률,이혼율,1인가구수(남자),1인가구수(여자),1인가구수(남녀총합),초등학교 학업중단율,중학교 학업중단율,고등학교 학업중단율,소계(10만명당자살률),남자(10만명당자살률),여자(10만명당자살률),등록외국인 소계,외국인 남자 총합,외국인 여자 총합,청소년비행 신고,총 범죄 발생 건수,강력범죄,인구 비율,청소년비행_비율,1인가구_비율,1인가구_비율(여성),1인가구_비율(남성),외국인비율,총범죄율,강력범죄율,봉사활동_역정규화
10,노원구,498213,0.44415696420871065,0.4411764705882355,27648,37627,65275,0.05291005291005291,0.16738197424892706,0.6016260162601625,0.582677165354331,30.5,18.1,4434,1875,2559,1417,10144,178,0.7073250834187226,0.7837791690110413,0.3020122170319798,0.4053939265236781,0.21342351085769748,0.020155264541505263,0.19553878122217036,0.11254019292604503,0.5558430357912894
11,은평구,466770,0.2043984476067271,0.6323529411764708,29345,39505,68850,0.07671957671957672,0.17596566523605153,0.5040650406504064,0.503937007874016,32.6,14.4,4057,1608,2449,1634,9905,170,0.6483164243864172,1.0,0.3312073302191879,0.43862815884476536,0.23915746694164744,0.017506169514365885,0.18540350282006698,0.09967845659163985,0.7956015523932729
12,서대문구,306231,0.39111686071582574,0.25,24297,31873,56170,0.3015873015873016,0.351931330472103,0.0,0.4251968503937009,29.8,15.1,13938,4332,9606,456,6816,165,0.3470350227266756,0.3374660911651147,0.22765655113840524,0.30356763644085794,0.16260766711148852,0.4861224445366126,0.054408209999575935,0.09163987138263666,0.6088831392841743
13,마포구,363697,0.2492453643811987,0.19117647058823528,31196,40916,72112,0.37830687830687837,0.33476394849785407,0.934959349593496,0.3858267716535435,23.7,19.8,11382,4047,7335,1158,12342,471,0.4548806990282516,0.8956969291631454,0.35784633979028513,0.4635980746089051,0.26722673783816575,0.3051640776239336,0.28874941690343925,0.5836012861736334,0.7507546356188013
14,양천구,436028,0.4683053040103491,0.3529411764705883,21436,25670,47106,0.23809523809523817,0.3433476394849786,0.19512195121951215,0.4409448818897639,29.6,15.2,3190,1316,1874,1023,8529,123,0.5906233227112867,0.6197628217528213,0.15363571031914544,0.19379556876902382,0.11922237049617859,0.0,0.12705143971841734,0.024115755627009627,0.5316946959896509
15,강서구,563058,0.553255713669685,0.6176470588235297,47105,57404,104509,0.12169312169312171,0.23175965665236056,0.7804878048780488,0.3464566929133861,25.9,16.7,5639,2470,3169,1225,12954,315,0.8290188306740685,0.5635872143065916,0.6224153137555939,0.7553797692362144,0.5084768894819847,0.034346814305341894,0.3147025147364404,0.3327974276527331,0.44674428633031504
16,구로구,392405,0.06813281586890918,0.6176470588235297,29957,31361,61318,0.06613756613756616,0.15450643776824033,0.0813008130081303,0.40944881889763773,30.7,13.5,22886,12207,10679,729,10410,221,0.508756620012236,0.4589018502390787,0.2696975141279848,0.294506972464076,0.2484380686643212,0.6491159896492531,0.20681904923455327,0.18167202572347266,0.9318671841310908
17,금천구,227481,0.13669685209141869,0.8676470588235292,27499,24534,52033,0.05291005291005291,0.05579399141630903,0.1382113821138211,0.8346456692913389,42.9,11.5,13465,7094,6371,459,7447,140,0.19924594729513145,0.5115916460866766,0.1938718844935158,0.17369222057053868,0.21116401795462822,0.6601796230780292,0.08116704126203297,0.05144694533762059,0.8633031479085813
18,영등포구,374794,0.23070288917636916,0.19117647058823528,38146,39749,77895,0.2857142857142857,0.3390557939914164,0.29268292682926833,0.12598425196850416,27.4,9.5,22704,11682,11022,713,13905,338,0.4757062910290623,0.47359257178013825,0.40507300819913117,0.44294613152120066,0.37261919204173233,0.6778120046990438,0.3550315932318393,0.3697749196141479,0.7692971108236308
19,동작구,378769,0.060802069857697205,0.014705882352941346,35650,38793,74443,0.25396825396825407,0.27896995708154504,0.2195121951219512,0.22834645669291365,26.9,12.8,10586,4342,6244,694,8868,211,0.4831661205508451,0.4504955448027337,0.3768823702348676,0.42602817300205287,0.3347688948198472,0.2625714826511777,0.14142742038081504,0.16559485530546622,0.9391979301423028
20,관악구,481956,0.08322552824493323,0.45588235294117685,79518,71227,150745,0.082010582010582,0.15450643776824033,0.39837398373983746,0.9921259842519685,39.3,19.2,15410,6190,9220,606,15379,361,0.6768157881896353,0.2611548323371794,0.9999999999999999,1.0,1.0,0.3137999562919569,0.4175395445485772,0.40675241157556274,0.9167744717550668
21,서초구,407664,0.3372143165157395,0.014705882352941346,21432,27324,48756,0.8518518518518521,0.9613733905579398,0.6910569105691056,0.0,25.1,9.0,4362,2087,2275,626,16941,432,0.5373929819425209,0.35278340782869133,0.1671103779440107,0.22306576060026906,0.11916171296857939,0.043064682010960115,0.48377931385437434,0.5209003215434083,0.6627856834842605
22,강남구,544873,0.6131953428201808,0.0,33217,43592,76809,0.7010582010582012,1.0,0.7235772357723576,0.5905511811023623,27.2,21.3,5334,2452,2882,1194,29114,730,0.7948912835410826,0.5687636841866954,0.39620422696240154,0.5109542011750549,0.297873953657649,0.031476846013116525,1.0,1.0,0.38680465717981916
23,송파구,654166,0.11211729193617948,0.1617647058823528,38849,48291,87140,0.44179894179894186,0.5751072961373391,0.5365853658536583,0.18110236220472453,24.6,13.9,5771,2568,3203,1072,17190,333,1.0,0.3867566870993815,0.48057197922451234,0.5941105684150917,0.3832797525172874,0.01916404667768179,0.49433866248250713,0.36173633440514463,0.8878827080638205
24,강동구,459167,0.12376024148339804,0.470588235294118,29123,33820,62943,0.22751322751322753,0.23175965665236056,0.15447154471544722,0.6692913385826771,35.4,15.4,4068,1812,2256,1072,9785,155,0.6340479756180868,0.6159695689728557,0.28296802012217026,0.33802293480569123,0.23579097415989328,0.01964257495264607,0.18031466010771388,0.07556270096463022,0.876239758516602
