,자치구별,인구소계,봉사활동 등록률,이혼율,1인가구수(남자),1인가구수(여자),1인가구수(남녀총합),초등학교 학업중단율,중학교 학업중단율,고등학교 학업중단율,소계(10만명당자살률),남자(10만명당자살률),여자(10만명당자살률),등록외국인 소계,외국인 남자 총합,외국인 여자 총합,청소년비행 신고,총 범죄 발생 건수,강력범죄,인구 비율,청소년비행_비율,1인가구_비율,1인가구_비율(여성),1인가구_비율(남성),외국인비율,총범죄율,강력범죄율,가구-계 (가구),정신의료기관수,정신의료기관 병상 수,정신의료기관비율,병상 수 비율,봉사활동_역정규화
12,서대문구,306231,0.39111686071582574,0.25,24297,31873,56170,0.3015873015873016,0.351931330472103,0.0,0.4251968503937009,29.8,15.1,13938,4332,9606,456,6816,165,0.3470350227266756,0.3374660911651147,0.40571065052270217,0.6328774513815114,0.25454691959750997,0.4861224445366126,0.06749379817959256,0.152826688876574,145742,11,98,0.03668476979307103,0.14105226520956463,0.6088831392841743
13,마포구,363697,0.2492453643811987,0.19117647058823528,31196,40916,72112,0.37830687830687837,0.33476394849785407,0.934959349593496,0.3858267716535435,23.7,19.8,11382,4047,7335,1158,12342,471,0.4548806990282516,0.8956969291631454,0.5186214420174446,0.7930666263287716,0.3359972300370285,0.3051640776239336,0.25373234317020343,0.6030165756493415,173258,38,0,0.4177918644228411,0.0,0.7507546356188013
14,양천구,436028,0.4683053040103491,0.3529411764705883,21436,25670,47106,0.23809523809523817,0.3433476394849786,0.19512195121951215,0.4409448818897639,29.6,15.2,3190,1316,1874,1023,8529,123,0.5906233227112867,0.6197628217528213,0.0,0.0,0.0,0.0,0.024478769908807374,0.0,171469,17,20,0.05373696256952071,0.02021709532012369,0.5316946959896509
15,강서구,563058,0.553255713669685,0.6176470588235297,47105,57404,104509,0.12169312169312171,0.23175965665236056,0.7804878048780488,0.3464566929133861,25.9,16.7,5639,2470,3169,1225,12954,315,0.8290188306740685,0.5635872143065916,0.4737787553143098,0.6622278118921678,0.34837899454844445,0.034346814305341894,0.0794364603983006,0.1651116022188606,258700,30,163,0.13318102754784042,0.12759616247647593,0.44674428633031504
16,구로구,392405,0.06813281586890918,0.6176470588235297,29957,31361,61318,0.06613756613756616,0.15450643776824033,0.0813008130081303,0.40944881889763773,30.7,13.5,22886,12207,10679,729,10410,221,0.508756620012236,0.4589018502390787,0.17596112678638964,0.1408302126917984,0.1993383105353982,0.6491159896492531,0.13561205793823705,0.1673431939646721,190000,14,197,0.03533308614069411,0.22127626670580777,0.9318671841310908
17,금천구,227481,0.13669685209141869,0.8676470588235292,27499,24534,52033,0.05291005291005291,0.05579399141630903,0.1382113821138211,0.8346456692913389,42.9,11.5,13465,7094,6371,459,7447,140,0.19924594729513145,0.5115916460866766,0.54085411302696,0.45318879002618573,0.5991892977786942,0.6601796230780292,0.2346247879826393,0.19844370692491317,123220,10,216,0.08137083887767257,0.41851570941319605,0.8633031479085813
18,영등포구,374794,0.23070288917636916,0.19117647058823528,38146,39749,77895,0.2857142857142857,0.3390557939914164,0.29268292682926833,0.12598425196850416,27.4,9.5,22704,11682,11022,713,13905,338,0.4757062910290623,0.47359257178013825,0.4921904265200372,0.5412696834003881,0.4595315892558679,0.6778120046990438,0.30421950899854955,0.3689367324113635,190452,29,229,0.2671169521088794,0.2693059783718019,0.7692971108236308
19,동작구,378769,0.060802069857697205,0.014705882352941346,35650,38793,74443,0.25396825396825407,0.27896995708154504,0.2195121951219512,0.22834645669291365,26.9,12.8,10586,4342,6244,694,8868,211,0.4831661205508451,0.4504955448027337,0.49801906907945037,0.5894710132074421,0.4371641509202532,0.2625714826511777,0.08591455940355319,0.16369638707572184,181307,22,60,0.15987562812972647,0.06982001936464884,0.9391979301423028
20,관악구,481956,0.08322552824493323,0.45588235294117685,79518,71227,150745,0.082010582010582,0.15450643776824033,0.39837398373983746,0.9921259842519685,39.3,19.2,15410,6190,9220,606,15379,361,0.6768157881896353,0.2611548323371794,1.0,1.0,0.9999999999999999,0.3137999562919569,0.22143101279897948,0.2779744241741282,275312,25,0,0.1253516377082913,0.0,0.9167744717550668
21,서초구,407664,0.3372143165157395,0.014705882352941346,21432,27324,48756,0.8518518518518521,0.9613733905579398,0.6910569105691056,0.0,25.1,9.0,4362,2087,2275,626,16941,432,0.5373929819425209,0.35278340782869133,0.11290491040147255,0.19738072370982107,0.0566921228622993,0.043064682010960115,0.37528665217201884,0.4629171394182524,159582,62,35,0.6823993575816093,0.03784154197310791,0.6627856834842605
22,강남구,544873,0.6131953428201808,0.0,33217,43592,76809,0.7010582010582012,1.0,0.7235772357723576,0.5905511811023623,27.2,21.3,5334,2452,2882,1194,29114,730,0.7948912835410826,0.5687636841866954,0.25881832841731645,0.4245797234347659,0.14851563093038966,0.031476846013116525,0.5647025425879971,0.6296435060599836,222421,114,57,1.0,0.04610868214977114,0.38680465717981916
23,송파구,654166,0.11211729193617948,0.1617647058823528,38849,48291,87140,0.44179894179894186,0.5751072961373391,0.5365853658536583,0.18110236220472453,24.6,13.9,5771,2568,3203,1072,17190,333,1.0,0.3867566870993815,0.1778087003641904,0.2698949026195352,0.11653172746575391,0.01916404667768179,0.13160917658970472,0.13510792152348325,269591,46,245,0.22788842771868414,0.16507498183714142,0.8878827080638205
24,강동구,459167,0.12376024148339804,0.470588235294118,29123,33820,62943,0.22751322751322753,0.23175965665236056,0.15447154471544722,0.6692913385826771,35.4,15.4,4068,1812,2256,1072,9785,155,0.6340479756180868,0.6159695689728557,0.19271178915943588,0.2399259351655436,0.16129405366398453,0.01964257495264607,0.052384070726906595,0.03302543173255271,192312,29,86,0.18808515390004346,0.08255263214569958,0.876239758516602
