,자치구별,인구소계,봉사활동 등록률,이혼율,1인가구수(남자),1인가구수(여자),1인가구수(남녀총합),초등학교 학업중단율,중학교 학업중단율,고등학교 학업중단율,소계(10만명당자살률),남자(10만명당자살률),여자(10만명당자살률),등록외국인 소계,외국인 남자 총합,외국인 여자 총합,청소년비행 신고,총 범죄 발생 건수,봉사활동_역정규화,사회불안지수
10,노원구,498213,0.44415696420871065,0.4411764705882355,27648,37627,0.30201221703197995,0.05291005291005291,0.16738197424892706,0.6016260162601625,0.582677165354331,30.5,18.1,0.09959498365295466,1875,2559,0.8586319218241043,0.1955387812221704,0.5558430357912894,0.37457065473016293
11,은평구,466770,0.2043984476067271,0.6323529411764708,29345,39505,0.33120733021918797,0.07671957671957672,0.17596566523605153,0.5040650406504064,0.503937007874016,32.6,14.4,0.08119845801005221,1608,2449,1.0,0.185403502820067,0.7956015523932729,0.36952479703125557
12,서대문구,306231,0.39111686071582574,0.25,24297,31873,0.22765655113840527,0.3015873015873016,0.351931330472103,0.0,0.4251968503937009,29.8,15.1,0.5633630995949835,4332,9606,0.23257328990228016,0.05440820999957591,0.6088831392841743,0.27978334938041766
13,마포구,363697,0.2492453643811987,0.19117647058823528,31196,40916,0.3578463397902852,0.37830687830687837,0.33476394849785407,0.934959349593496,0.3858267716535435,23.7,19.8,0.4386375835651197,4047,7335,0.6899022801302932,0.28874941690343914,0.7507546356188013,0.4249414403410343
14,양천구,436028,0.4683053040103491,0.3529411764705883,21436,25670,0.15363571031914547,0.23809523809523817,0.3433476394849786,0.19512195121951215,0.4409448818897639,29.6,15.2,0.03889132874640122,1316,1874,0.6019543973941368,0.12705143971841737,0.5316946959896509,0.29602890673485305
15,강서구,563058,0.553255713669685,0.6176470588235297,47105,57404,0.6224153137555941,0.12169312169312171,0.23175965665236056,0.7804878048780488,0.3464566929133861,25.9,16.7,0.15839554969989753,2470,3169,0.7335504885993486,0.3147025147364403,0.44674428633031504,0.4480363915421413
16,구로구,392405,0.06813281586890918,0.6176470588235297,29957,31361,0.26969751412798487,0.06613756613756616,0.15450643776824033,0.0813008130081303,0.40944881889763773,30.7,13.5,1.0,12207,10679,0.41042345276872966,0.20681904923455324,0.9318671841310908,0.3284113526635281
17,금천구,227481,0.13669685209141869,0.8676470588235292,27499,24534,0.19387188449351583,0.05291005291005291,0.05579399141630903,0.1382113821138211,0.8346456692913389,42.9,11.5,0.5402820475284242,7094,6371,0.234527687296417,0.081167041262033,0.8633031479085813,0.313575366722686
18,영등포구,374794,0.23070288917636916,0.19117647058823528,38146,39749,0.4050730081991311,0.2857142857142857,0.3390557939914164,0.29268292682926833,0.12598425196850416,27.4,9.5,0.9911189186551506,11682,11022,0.4,0.3550315932318392,0.7692971108236308,0.36165401383541995
19,동작구,378769,0.060802069857697205,0.014705882352941346,35650,38793,0.37688237023486754,0.25396825396825407,0.27896995708154504,0.2195121951219512,0.22834645669291365,26.9,12.8,0.3997950519689649,4342,6244,0.3876221498371336,0.14142742038081507,0.9391979301423028,0.23620318074970834
20,관악구,481956,0.08322552824493323,0.45588235294117685,79518,71227,1.0,0.082010582010582,0.15450643776824033,0.39837398373983746,0.9921259842519685,39.3,19.2,0.635192504757722,6190,9220,0.33029315960912053,0.4175395445485772,0.9167744717550668,0.45491500778721583
21,서초구,407664,0.3372143165157395,0.014705882352941346,21432,27324,0.16711037794401074,0.8518518518518521,0.9613733905579398,0.6910569105691056,0.0,25.1,9.0,0.09608158883521203,2087,2275,0.3433224755700326,0.4837793138543742,0.6627856834842605,0.39464961080512084
22,강남구,544873,0.6131953428201808,0.0,33217,43592,0.3962042269624016,0.7010582010582012,1.0,0.7235772357723576,0.5905511811023623,27.2,21.3,0.14351241887473773,2452,2882,0.713355048859935,0.9999999999999999,0.38680465717981916,0.5881453655450175
23,송파구,654166,0.11211729193617948,0.1617647058823528,38849,48291,0.4805719792245125,0.44179894179894186,0.5751072961373391,0.5365853658536583,0.18110236220472453,24.6,13.9,0.16483677353242568,2568,3203,0.6338762214983714,0.494338662482507,0.8878827080638205,0.3782099600551013
24,강동구,459167,0.12376024148339804,0.470588235294118,29123,33820,0.2829680201221703,0.22751322751322753,0.23175965665236056,0.15447154471544722,0.6692913385826771,35.4,15.4,0.0817352266627629,1812,2256,0.6338762214983714,0.1803146601077138,0.876239758516602,0.3056278372632247
