"성동구","남자","초등학교",4139,1067,1006,30,31,3072
"성동구","남자","중학교",7934,3566,3264,77,225,4368
"성동구","남자","고등학교",33955,21127,19606,646,875,12828
"성동구","남자","대학(4년제 미만)",12154,9089,8264,557,268,3065
"성동구","남자","대학교(4년제 이상)",50099,36491,33476,2212,803,13608
"성동구","남자","대학원석사과정",9840,7980,7264,524,192,1860
"성동구","남자","대학원박사과정",3371,2680,2455,199,26,691
"성동구","남자","안 받았음(미취학 포함)",384,51,44,-,7,333
"성동구","여자","계",131602,69450,58184,8074,3192,62152
"성동구","여자","초등학교",9005,1342,1236,92,14,7663
"성동구","여자","중학교",9710,2948,2629,206,113,6762
"성동구","여자","고등학교",36395,17311,15397,1331,583,19084
"성동구","여자","대학(4년제 미만)",14898,9704,7712,1445,547,5194
"성동구","여자","대학교(4년제 이상)",48253,29909,24682,3737,1490,18344
"성동구","여자","대학원석사과정",9247,6548,5204,975,369,2699
"성동구","여자","대학원박사과정",1931,1541,1196,269,76,390
"성동구","여자","안 받았음(미취학 포함)",2163,147,128,19,-,2016
"광진구","계","계",303563,185496,164440,15030,6026,118067
"광진구","계","초등학교",14400,2671,2381,192,98,11729
"광진구","계","중학교",20966,8152,7430,353,369,12814
"광진구","계","고등학교",91184,51059,46746,2590,1723,40125
"광진구","계","대학(4년제 미만)",39379,28573,25288,2212,1073,10806
"광진구","계","대학교(4년제 이상)",112589,77338,67476,7536,2326,35251
"광진구","계","대학원석사과정",17879,13838,11830,1634,374,4041
"광진구","계","대학원박사과정",4558,3668,3097,508,63,890
"광진구","계","안 받았음(미취학 포함)",2608,197,192,5,-,2411
"광진구","남자","계",143904,98130,90099,5233,2798,45774
"광진구","남자","초등학교",4302,1254,1154,41,59,3048
"광진구","남자","중학교",8922,4275,3946,73,256,4647
"광진구","남자","고등학교",43715,27619,25986,682,951,16096
"광진구","남자","대학(4년제 미만)",17465,13561,12413,696,452,3904
"광진구","남자","대학교(4년제 이상)",56965,41582,37741,2901,940,15383
"광진구","남자","대학원석사과정",9109,7337,6610,609,118,1772
"광진구","남자","대학원박사과정",2971,2454,2201,231,22,517
