,국적,성별,소계,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
74,이 탈 리 아,남자,290,15,17,65,10,7,8,4,22,1,2,4,4,18,20,2,16,3,2,8,8,11,20,13,7,3
75,이 탈 리 아,여자,408,15,27,49,5,26,22,3,31,-,-,1,2,48,50,1,2,3,3,10,12,41,33,15,5,4
76,튀 르 키 예,남자,354,5,15,88,6,7,10,5,18,22,1,5,1,10,14,2,8,4,-,18,3,21,16,25,8,42
77,튀 르 키 예,여자,420,15,13,49,13,17,37,4,34,9,8,6,5,25,16,2,10,10,5,8,7,62,23,26,9,7
78,네 덜 란 드,남자,219,11,12,26,2,17,13,3,13,1,1,-,9,18,28,2,4,-,1,4,10,21,14,7,-,2
79,네 덜 란 드,여자,251,19,9,26,2,22,16,1,18,1,-,-,3,35,45,1,1,-,3,5,11,13,9,9,1,1
80,키르기스스탄,남자,132,1,12,31,2,4,14,2,15,2,-,10,2,4,-,-,1,2,3,6,3,8,-,1,4,5
81,키르기스스탄,여자,282,2,9,42,9,11,34,9,23,8,7,9,5,25,12,5,4,9,9,4,7,24,3,4,1,7
82,멕  시  코,남자,127,9,3,21,1,4,5,1,8,-,1,3,4,10,18,1,8,-,1,3,1,11,3,3,4,4
83,멕  시  코,여자,243,15,9,18,2,14,36,5,22,4,2,5,2,37,17,2,1,7,1,3,5,14,8,5,6,3
84,스  페  인,남자,288,17,20,42,5,11,8,-,11,7,2,5,6,32,30,1,12,3,3,8,15,14,14,18,3,1
85,스  페  인,여자,378,20,15,45,14,27,29,1,15,9,-,3,4,48,47,2,-,2,3,8,12,34,16,10,6,8
86,우크라이나,남자,103,1,9,29,-,4,2,-,7,8,-,2,1,4,7,-,2,1,1,-,5,2,4,6,7,1
87,우크라이나,여자,319,4,17,34,6,15,18,-,17,11,2,7,6,14,10,2,7,1,10,8,13,37,9,43,23,5
88,스  위  스,남자,101,17,2,10,1,4,6,4,5,2,-,-,4,9,8,-,5,1,-,5,1,8,1,4,4,-
89,스  위  스,여자,98,6,3,8,4,6,6,-,8,2,-,1,2,19,12,-,2,-,-,4,5,4,1,3,2,-
90,핀  란  드,남자,68,3,4,9,-,3,9,-,9,-,-,1,1,5,5,-,2,-,-,2,7,2,1,2,3,-
91,핀  란  드,여자,116,11,7,9,3,10,18,-,9,-,-,2,1,16,4,-,-,-,-,3,6,12,2,2,1,-
92,가       나,남자,164,2,9,76,8,1,7,1,3,-,-,6,1,9,3,1,9,1,1,1,9,15,-,-,-,1
93,가       나,여자,58,1,2,37,1,-,5,-,3,1,1,-,1,1,-,-,3,-,-,-,-,2,-,-,-,-
94,벨  기  에,남자,128,7,4,21,2,4,3,-,9,1,-,1,2,9,11,1,6,1,-,3,2,11,14,13,3,-
95,벨  기  에,여자,145,6,3,26,4,5,6,1,6,1,-,3,1,24,18,1,2,1,-,5,3,10,12,3,4,-
96,폴  란  드,남자,72,8,7,4,1,2,2,-,3,3,-,1,-,7,7,-,3,1,1,-,4,5,8,2,2,1
97,폴  란  드,여자,185,12,16,8,1,12,15,4,11,4,-,2,3,16,20,3,3,4,1,4,11,17,5,9,2,2
98,이  집  트,남자,360,6,14,203,2,4,8,2,5,1,1,5,7,5,16,5,23,3,1,6,8,20,8,3,4,-
99,이  집  트,여자,143,3,6,37,3,6,12,-,8,1,-,5,5,10,5,3,-,2,3,-,10,13,5,1,3,2
100,오스트리아,남자,59,7,6,7,-,1,3,-,7,1,-,-,-,3,3,1,5,-,-,1,1,6,3,4,-,-
101,오스트리아,여자,90,8,9,7,3,3,4,-,6,1,1,-,1,8,10,2,2,1,1,-,3,9,2,6,3,-
102,수       단,남자,53,-,-,40,-,1,2,-,2,1,-,-,-,3,1,-,-,-,-,-,2,1,-,-,-,-
103,수       단,여자,42,-,1,30,-,-,2,-,1,-,-,-,-,6,-,-,-,-,-,-,-,2,-,-,-,-
104,아르헨티나,남자,40,-,1,14,-,-,3,1,-,1,1,-,1,3,-,-,2,-,-,1,-,4,4,1,1,2
105,아르헨티나,여자,56,-,2,10,1,3,2,1,1,1,1,-,-,6,2,-,-,4,-,-,3,7,1,6,3,2
106,오       만,남자,20,8,-,2,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-
107,오       만,여자,23,9,1,1,1,-,-,-,3,-,-,-,-,-,1,-,-,-,-,-,-,3,3,1,-,-
108,이 스 라 엘,남자,56,18,1,13,-,-,2,-,-,1,-,1,-,2,1,-,-,1,1,2,2,2,5,3,-,1
109,이 스 라 엘,여자,76,22,4,15,2,2,3,-,3,1,-,-,-,5,-,2,-,-,2,2,1,3,7,1,1,-
110,페       루,남자,75,2,17,15,-,1,5,1,8,-,1,2,-,3,3,2,-,-,1,-,7,3,1,1,-,2
111,페       루,여자,126,2,13,27,-,4,10,1,14,1,-,3,-,7,5,3,1,-,2,-,9,15,2,2,4,1
112,덴  마  크,남자,117,5,19,42,2,-,5,-,4,-,-,1,2,7,7,-,1,-,-,2,2,7,6,5,-,-
113,덴  마  크,여자,131,10,18,30,2,2,5,1,9,-,-,-,2,16,8,1,2,-,1,-,5,4,10,3,2,-
114,모  로  코,남자,168,3,12,57,4,2,1,1,9,1,4,1,-,4,13,3,4,2,3,4,12,15,1,3,6,3
115,모  로  코,여자,270,4,4,48,7,7,18,7,14,5,-,3,7,22,14,5,10,2,5,6,10,47,6,11,4,4
116,이  라  크,남자,68,-,-,45,2,-,13,-,-,-,-,2,-,-,-,-,-,2,-,-,3,-,-,-,1,-
117,이  라  크,여자,61,-,-,38,-,-,9,-,-,-,-,2,1,3,2,-,1,1,-,-,1,2,1,-,-,-
118,기       타,남자,3012,129,219,1033,48,52,184,15,184,24,26,40,36,111,74,16,48,29,14,44,271,193,77,75,53,17
119,기       타,여자,3135,166,205,680,51,88,238,25,237,54,28,34,26,273,184,17,41,31,18,37,160,285,96,97,42,22
