은평구,공공행정 국방 및 사회보장행정,207591,176122
은평구,교육서비스업,492085,452551
은평구,보건업 및 사회복지서비스업,688263,631447
은평구,문화 및 기타 서비스업,210945,178549
서대문구,지역내총생산(시장가격),9039083,8222269
서대문구,순생산물세,802009,685672
서대문구,총부가가치(기초가격),8237074,7535875
서대문구,농·림·어업,57248,71511
서대문구,광업,-,-
서대문구,제조업,81604,80846
서대문구,전기 가스 증기 및 공기조절 공급업,45210,84554
서대문구,건설업,375385,303107
서대문구,도매 및 소매업,753877,750369
서대문구,운수 및 창고업,130346,122768
서대문구,숙박 및 음식점업,255224,223225
서대문구,정보통신업,346723,309353
서대문구,금융 및 보험업,720799,641714
서대문구,부동산업,1167927,1114146
서대문구,사업서비스업,1019169,898457
서대문구,공공행정 국방 및 사회보장행정,753725,633614
서대문구,교육서비스업,1393898,1287040
서대문구,보건업 및 사회복지서비스업,957245,873075
서대문구,문화 및 기타 서비스업,178693,154949
마포구,지역내총생산(시장가격),21399314,19604417
마포구,순생산물세,1577137,1352491
마포구,총부가가치(기초가격),19822177,18253169
마포구,농·림·어업,750,679
마포구,광업,43,44
마포구,제조업,284942,270642
마포구,전기 가스 증기 및 공기조절 공급업,68968,128460
마포구,건설업,460034,371094
마포구,도매 및 소매업,2452371,2441960
마포구,운수 및 창고업,837136,769380
마포구,숙박 및 음식점업,554793,483764
마포구,정보통신업,6941928,6376154
마포구,금융 및 보험업,714396,648106
마포구,부동산업,1805625,1725762
마포구,사업서비스업,3319091,2947552
마포구,공공행정 국방 및 사회보장행정,256794,217172
마포구,교육서비스업,973539,888715
마포구,보건업 및 사회복지서비스업,578679,532291
마포구,문화 및 기타 서비스업,573088,514639
양천구,지역내총생산(시장가격),7356067,6772156
양천구,순생산물세,578680,495594
양천구,총부가가치(기초가격),6777387,6275699
양천구,농·림·어업,268,245
양천구,광업,75,77
양천구,제조업,192162,182058
양천구,전기 가스 증기 및 공기조절 공급업,62818,117878
양천구,건설업,267559,215522
양천구,도매 및 소매업,682784,679035
양천구,운수 및 창고업,315276,294258
양천구,숙박 및 음식점업,223356,192074
양천구,정보통신업,744084,710980
양천구,금융 및 보험업,310065,287121
양천구,부동산업,1552154,1476165
양천구,사업서비스업,454684,399099
양천구,공공행정 국방 및 사회보장행정,331664,280190
양천구,교육서비스업,676346,617127
양천구,보건업 및 사회복지서비스업,687628,628828
양천구,문화 및 기타 서비스업,276463,233602
강서구,지역내총생산(시장가격),18347568,16521315
강서구,순생산물세,1321945,1131799
강서구,총부가가치(기초가격),17025623,15394239
강서구,농·림·어업,12965,11744
강서구,광업,-,-
강서구,제조업,486228,480451
강서구,전기 가스 증기 및 공기조절 공급업,81225,151179
강서구,건설업,878172,711731
강서구,도매 및 소매업,2046249,2039313
강서구,운수 및 창고업,1207931,1064549
강서구,숙박 및 음식점업,430150,375788
강서구,정보통신업,2494802,2247568
강서구,금융 및 보험업,338913,317768
강서구,부동산업,2191703,2115483
강서구,사업서비스업,4361960,3713960
강서구,공공행정 국방 및 사회보장행정,239294,203074
강서구,교육서비스업,766757,700913
강서구,보건업 및 사회복지서비스업,942817,862566
강서구,문화 및 기타 서비스업,546458,451545
구로구,지역내총생산(시장가격),14663398,13158416
구로구,순생산물세,1239027,1060281
구로구,총부가가치(기초가격),13424370,12096513
구로구,농·림·어업,1721,1566
구로구,광업,-,-
구로구,제조업,1281144,1309661
구로구,전기 가스 증기 및 공기조절 공급업,60509,112638
구로구,건설업,440660,355183
구로구,도매 및 소매업,1738959,1733838
구로구,운수 및 창고업,327589,304807
구로구,숙박 및 음식점업,271294,236770
구로구,정보통신업,3262052,2698890
구로구,금융 및 보험업,623492,579884
구로구,부동산업,1082400,1034612
구로구,사업서비스업,2386605,2017479
구로구,공공행정 국방 및 사회보장행정,272396,230326
구로구,교육서비스업,595225,544494
구로구,보건업 및 사회복지서비스업,769723,703799
구로구,문화 및 기타 서비스업,310602,267663
금천구,지역내총생산(시장가격),17801015,16224045
금천구,순생산물세,1447166,1237895
금천구,총부가가치(기초가격),16353849,14984157
금천구,농·림·어업,191,181
금천구,광업,-,-
금천구,제조업,2976127,3034339
금천구,전기 가스 증기 및 공기조절 공급업,45479,84161
금천구,건설업,669625,540186
금천구,도매 및 소매업,2233675,2227165
금천구,운수 및 창고업,338736,314220
금천구,숙박 및 음식점업,191907,166251
금천구,정보통신업,4310222,3809466
금천구,금융 및 보험업,170914,166513
금천구,부동산업,1033376,990355
금천구,사업서비스업,3342347,2756579
금천구,공공행정 국방 및 사회보장행정,151882,128953
금천구,교육서비스업,323986,295929
금천구,보건업 및 사회복지서비스업,302611,277367
금천구,문화 및 기타 서비스업,262772,221343
영등포구,지역내총생산(시장가격),44265877,39718563
영등포구,순생산물세,6032294,5134546
영등포구,총부가가치(기초가격),38233583,34545791
영등포구,농·림·어업,2160,2658
영등포구,광업,570,566
영등포구,제조업,849965,811282
영등포구,전기 가스 증기 및 공기조절 공급업,76897,142428
영등포구,건설업,751389,606972
영등포구,도매 및 소매업,4333965,4317374
영등포구,운수 및 창고업,657943,606421
