접수년월,경찰서명,신고건수전체,신고성별남성,신고성별여성,신고성별불상,신고성별기타,접수긴급유형긴급,접수긴급유형중요,접수긴급유형일반,접수긴급유형민원,접수긴급유형기타,발생요일일요일,발생요일월요일,발생요일화요일,발생요일수요일,발생요일목요일,발생요일금요일,발생요일토요일,발생시간대00,발생시간대01,발생시간대02,발생시간대03,발생시간대04,발생시간대05,발생시간대06,발생시간대07,발생시간대08,발생시간대09,발생시간대10,발생시간대11,발생시간대12,발생시간대13,발생시간대14,발생시간대15,발생시간대16,발생시간대17,발생시간대18,발생시간대19,발생시간대20,발생시간대21,발생시간대22,발생시간대23
202310,서울성북,51,25,16,10,0,0,4,47,0,0,6,10,7,4,6,12,6,3,1,0,0,1,0,0,0,0,0,0,0,0,2,0,3,6,4,2,5,7,13,1,3
202310,서울종암,85,38,24,23,0,0,4,81,0,0,14,8,18,11,15,11,8,9,4,2,0,2,0,1,3,0,0,0,0,0,0,0,2,3,2,3,4,11,21,13,5
202310,서울영등포,110,66,19,25,0,2,5,102,0,1,22,12,13,6,7,12,38,6,7,6,2,0,1,0,0,0,0,1,2,0,2,1,7,8,4,12,11,9,7,12,12
202310,서울양천,121,74,12,35,0,0,7,113,1,0,23,21,24,10,14,12,17,7,4,2,2,0,1,0,0,0,0,0,0,4,3,0,2,7,9,8,3,11,18,21,19
202310,서울혜화,8,4,4,0,0,0,1,7,0,0,0,1,1,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,1,0,2
202310,서울은평,77,40,16,21,0,0,11,66,0,0,6,8,13,10,13,13,14,4,1,1,0,1,0,1,0,2,0,2,0,0,1,3,2,4,2,2,11,9,15,4,12
202310,서울용산,9,3,2,4,0,0,0,9,0,0,1,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,2,0
202310,서울남대문,2,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
202310,서울청,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
202310,서울마포,167,57,36,74,0,0,8,157,1,1,31,33,17,13,17,29,27,4,6,4,1,1,1,0,1,0,0,1,1,3,2,5,3,9,24,9,25,14,25,15,13
202310,ETC,951,547,198,206,0,0,31,850,39,31,148,159,165,120,106,136,117,63,28,20,17,16,2,2,3,1,3,3,6,12,17,14,31,58,76,71,83,88,122,110,105
202311,서울서부,44,17,9,18,0,0,3,41,0,0,5,1,5,13,10,7,3,7,1,1,0,0,0,0,1,2,0,0,1,0,3,0,2,2,1,5,7,4,3,4,0
202311,서울종로,9,6,1,2,0,0,0,9,0,0,3,0,2,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,2,0
