,시군구명,시설코드,조성년월,설치대수,데이터 기준일자
342,종로구,305,,1,20221121
343,종로구,307,,1,20221121
344,종로구,305,,1,20221110
345,종로구,305,,1,20221110
346,종로구,305,,1,20221110
347,종로구,302,,1,20221110
348,종로구,301,,1,20221110
349,종로구,305,,1,20221110
350,종로구,305,,1,20221110
351,종로구,304,,1,20221110
352,종로구,307,,1,20221110
353,종로구,305,,1,20221110
354,종로구,305,,1,20221110
355,종로구,305,,1,20221110
356,종로구,302,,1,20221110
357,종로구,301,,1,20221110
358,종로구,305,,1,20221110
359,종로구,304,,1,20221110
360,종로구,305,,1,20221110
361,종로구,305,,1,20221110
362,종로구,307,,1,20221110
363,종로구,305,,1,20221110
364,종로구,305,,1,20221110
365,종로구,302,,1,20221110
366,종로구,301,,1,20221110
367,종로구,304,,1,20221110
368,종로구,305,,1,20221110
369,종로구,305,,1,20221110
370,종로구,307,,1,20221110
371,종로구,304,,1,20221110
372,종로구,305,,1,20221110
373,종로구,302,,1,20221110
374,종로구,301,,1,20221110
375,종로구,305,,1,20221110
376,종로구,302,,1,20221110
377,종로구,305,,1,20221110
378,종로구,307,,1,20221110
379,종로구,305,,1,20221110
380,종로구,302,,1,20221110
381,종로구,301,,1,20221110
382,종로구,305,,1,20221110
383,종로구,305,,1,20221110
384,종로구,302,,1,20221110
385,종로구,301,,1,20221110
386,종로구,304,,1,20221110
387,종로구,305,,1,20221110
388,종로구,305,,1,20221110
389,종로구,305,,1,20221110
390,종로구,307,,1,20221110
391,종로구,304,,1,20221110
392,종로구,305,,1,20221110
393,종로구,302,,1,20221110
394,종로구,301,,1,20221110
395,종로구,305,,1,20221110
396,종로구,305,,1,20221110
397,종로구,307,,1,20221110
398,종로구,304,,1,20221110
399,종로구,305,,1,20221110
400,종로구,302,,1,20221110
401,종로구,301,,1,20221110
402,종로구,305,,1,20221110
403,종로구,305,,1,20221110
404,종로구,304,,1,20221110
405,종로구,305,,2,20221117
406,종로구,305,,1,20221117
407,종로구,307,,1,20221117
408,종로구,305,,1,20221117
409,종로구,302,,1,20221117
410,종로구,301,,1,20221117
411,종로구,304,,1,20221117
412,종로구,305,,1,20221117
413,종로구,305,,1,20221117
414,종로구,305,,1,20221117
415,종로구,302,,1,20221117
416,종로구,301,,1,20221117
417,종로구,305,,1,20221117
418,종로구,307,,1,20221117
419,종로구,304,,1,20221117
420,종로구,305,,1,20221117
421,종로구,305,,1,20221117
422,종로구,307,,1,20221117
423,종로구,305,,1,20221117
424,종로구,304,,1,20221117
425,종로구,305,,1,20221117
426,종로구,305,,1,20221117
427,종로구,305,,1,20221117
428,종로구,305,,1,20221117
429,종로구,304,,1,20221117
430,종로구,307,,1,20221117
431,종로구,305,,2,20221117
432,종로구,301,,1,20221117
433,종로구,305,,1,20221117
434,종로구,302,,1,20221117
435,종로구,305,,1,20221117
436,종로구,305,,1,20221117
437,종로구,307,,1,20221117
438,종로구,305,,1,20221117
439,종로구,304,,1,20221117
440,종로구,305,,1,20221117
441,종로구,307,,1,20221117
442,종로구,301,,1,20221117
443,종로구,305,,1,20221117
444,종로구,302,,1,20221117
445,종로구,304,,1,20221117
446,종로구,305,,1,20221117
447,종로구,305,,1,20221117
448,종로구,305,,1,20221117
449,종로구,302,,1,20221117
450,종로구,301,,1,20221117
451,종로구,305,,2,20221117
452,종로구,305,,1,20221117
453,종로구,304,,1,20221117
454,종로구,307,,1,20221117
455,종로구,301,,1,20221117
456,종로구,305,,1,20221117
457,종로구,302,,1,20221117
458,종로구,305,,1,20221117
459,종로구,305,,1,20221117
460,종로구,305,,1,20221117
461,종로구,305,,2,20221117
462,중구,301,,1,20221014
463,중구,302,,3,20221014
464,중구,305,,1,20221014
465,중구,304,,1,20221014
466,중구,305,,1,20221014
467,중구,307,,1,20221014
468,중구,305,,1,20221014
469,중구,305,,1,20221014
470,중구,305,,1,20221014
471,중구,305,,1,20221014
472,중구,307,,1,20221014
473,중구,304,,1,20221014
474,중구,305,,1,20221014
475,중구,305,,1,20221014
476,중구,302,,2,20221014
477,중구,301,,1,20221014
478,중구,307,,1,20221014
479,중구,305,,1,20221014
480,중구,304,,1,20221014
481,중구,305,,1,20221014
482,중구,307,,1,20221014
483,중구,302,,3,20221014
484,중구,305,,1,20221014
485,중구,301,,1,20221014
486,중구,301,,1,20221014
487,중구,302,,3,20221014
488,중구,307,,1,20221014
489,중구,305,,1,20221014
490,중구,305,,1,20221014
491,중구,305,,1,20221014
492,중구,307,,1,20221014
493,중구,305,,1,20221014
494,중구,302,,2,20221014
495,중구,305,,1,20221014
496,중구,305,,1,20221014
497,중구,307,,1,20221014
498,중구,305,,1,20221014
499,중구,302,,4,20221014
500,중구,301,,1,20221014
501,중구,302,,1,20221014
502,중구,307,,1,20221014
503,중구,305,,1,20221014
504,중구,305,,1,20221014
505,중구,307,,1,20221014
506,중구,305,,1,20221014
507,중구,305,,1,20221014
508,중구,305,,1,20221014
509,중구,302,,2,20221014
510,중구,307,,1,20221014
511,중구,301,,1,20221014
512,중구,305,,1,20221014
513,중구,305,,1,20221014
514,중구,307,,1,20221014
515,중구,304,,1,20221014
516,중구,305,,1,20221014
517,중구,305,,1,20221014
518,중구,305,,1,20221014
519,중구,305,,1,20221014
520,중구,305,,1,20221014
521,중구,304,,1,20221014
522,중구,305,,1,20221014
523,중구,307,,1,20221014
524,중구,305,,1,20221014
525,중구,302,,4,20221014
526,중구,301,,1,20221014
527,중구,305,,1,20221014
528,중구,305,,1,20221014
529,중구,304,,1,20221014
530,중구,307,,1,20221014
531,중구,305,,1,20221014
532,중구,305,,1,20221014
533,중구,307,,1,20221014
