"자치구별(1)","자치구별(2)",구분별(1),구분별(2),2021,2022,2023
"합계","관악구",다문화가구 (가구),소계,4436,4466,4526
"합계","관악구",다문화가구원 (명),소계,10447,10526,10595
"합계","관악구",다문화가구원 (명),내국인(출생),4967,5081,5155
"합계","관악구",다문화가구원 (명),내국인(귀화·인지),3324,3301,3306
"합계","관악구",다문화가구원 (명),외국인(결혼이민자),1577,1585,1597
"합계","관악구",다문화가구원 (명),외국인(기타),579,559,537
"합계","서초구",다문화가구 (가구),소계,1902,2005,2112
"합계","서초구",다문화가구원 (명),소계,5778,6055,6447
"합계","서초구",다문화가구원 (명),내국인(출생),4051,4268,4589
"합계","서초구",다문화가구원 (명),내국인(귀화·인지),512,550,592
"합계","서초구",다문화가구원 (명),외국인(결혼이민자),1104,1141,1166
"합계","서초구",다문화가구원 (명),외국인(기타),111,96,100
"합계","강남구",다문화가구 (가구),소계,2169,2384,2543
"합계","강남구",다문화가구원 (명),소계,6386,7041,7478
"합계","강남구",다문화가구원 (명),내국인(출생),4473,4930,5227
"합계","강남구",다문화가구원 (명),내국인(귀화·인지),612,693,752
"합계","강남구",다문화가구원 (명),외국인(결혼이민자),1172,1304,1392
"합계","강남구",다문화가구원 (명),외국인(기타),129,114,107
"합계","송파구",다문화가구 (가구),소계,3129,3235,3288
"합계","송파구",다문화가구원 (명),소계,8917,9148,9284
"합계","송파구",다문화가구원 (명),내국인(출생),5655,5773,5947
"합계","송파구",다문화가구원 (명),내국인(귀화·인지),1505,1532,1525
"합계","송파구",다문화가구원 (명),외국인(결혼이민자),1503,1589,1558
"합계","송파구",다문화가구원 (명),외국인(기타),254,254,254
"합계","강동구",다문화가구 (가구),소계,2465,2531,2646
"합계","강동구",다문화가구원 (명),소계,7004,7151,7378
"합계","강동구",다문화가구원 (명),내국인(출생),4361,4451,4597
"합계","강동구",다문화가구원 (명),내국인(귀화·인지),1315,1365,1400
"합계","강동구",다문화가구원 (명),외국인(결혼이민자),1116,1137,1178
"합계","강동구",다문화가구원 (명),외국인(기타),212,198,203
