ACPT_YM,PLCST_NM,RPRT_CASCNT_WHOL,RPRT_SEX_MALE,RPRT_SEX_FMLE,RPRT_SEX_UNKWN,RPRT_SEX_ETC,ACPT_EMERG_TYPE_EMERG,ACPT_EMERG_TYPE_IMPRTNC,ACPT_EMERG_TYPE_GNRL,ACPT_EMERG_TYPE_CVAPP,ACPT_EMERG_TYPE_ETC,OCRN_DOTW_SNDD,OCRN_DOTW_MON,OCRN_DOTW_TUE,OCRN_DOTW_WED,OCRN_DOTW_THU,OCRN_DOTW_FRI,OCRN_DOTW_SAT,OCRN_TIZN_00,OCRN_TIZN_01,OCRN_TIZN_02,OCRN_TIZN_03,OCRN_TIZN_04,OCRN_TIZN_05,OCRN_TIZN_06,OCRN_TIZN_07,OCRN_TIZN_08,OCRN_TIZN_09,OCRN_TIZN_10,OCRN_TIZN_11,OCRN_TIZN_12,OCRN_TIZN_13,OCRN_TIZN_14,OCRN_TIZN_15,OCRN_TIZN_16,OCRN_TIZN_17,OCRN_TIZN_18,OCRN_TIZN_19,OCRN_TIZN_20,OCRN_TIZN_21,OCRN_TIZN_22,OCRN_TIZN_23
"202304","마산중부","17","12","5","0","0","0","0","16","1","0","2","2","3","0","3","1","6","0","2","2","0","0","0","0","0","2","0","0","0","0","1","0","0","0","3","2","1","2","0","1","1"
"202304","천안동남","70","28","23","19","0","0","0","64","5","1","9","11","1","11","11","17","10","2","7","2","3","0","0","0","0","0","0","0","0","1","2","0","4","9","9","6","4","4","5","7","5"
"202304","김해중부","61","40","13","8","0","0","2","53","5","1","11","10","5","6","7","15","7","2","0","2","0","3","0","0","1","3","0","0","1","0","1","3","4","9","1","6","4","4","4","6","7"
"202304","사천","17","11","6","0","0","0","0","16","1","0","2","3","2","0","2","2","6","2","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","4","0","0","4"
"202304","서울방배","30","16","7","7","0","0","3","27","0","0","9","3","2","4","5","2","5","2","4","2","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","3","1","3","3","3","7"
"202304","부산연제","21","9","7","5","0","0","1","20","0","0","8","1","2","2","2","2","4","6","0","0","2","0","2","0","0","0","0","0","0","0","0","0","1","2","0","0","1","3","1","0","3"
"202304","부천소사","40","16","16","8","0","0","0","39","1","0","5","6","8","3","4","11","3","2","0","1","1","0","0","0","0","1","0","0","0","2","2","0","3","6","8","1","4","1","1","3","4"
"202304","창원서부","16","10","3","3","0","0","0","16","0","0","0","1","2","5","2","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","5","0","1","1","1","4"
"202304","진해","25","14","5","6","0","0","0","24","1","0","8","2","2","1","5","2","5","3","2","1","1","0","0","0","0","0","0","0","0","0","1","0","2","0","1","3","5","1","1","2","2"
"202304","부산기장","64","44","14","6","0","0","1","58","4","1","9","5","11","8","8","11","12","3","2","0","0","0","0","0","0","1","1","0","1","0","1","1","4","3","6","6","6","7","10","7","5"
"202304","서울성북","47","29","10","8","0","0","1","46","0","0","2","7","7","7","8","8","8","1","0","1","2","0","0","0","0","0","0","1","1","1","0","0","2","4","5","6","6","2","5","9","1"
"202304","경기북부청","1","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"202304","논산","27","16","4","7","0","0","1","26","0","0","9","4","1","2","1","3","7","3","0","2","0","1","0","0","0","0","0","0","0","0","2","0","1","2","2","2","2","1","3","1","5"
"202304","목포","54","25","15","14","0","0","0","54","0","0","15","4","5","5","3","8","14","2","2","0","2","2","1","0","0","0","2","0","0","2","1","2","2","4","4","4","4","4","4","4","8"
"202304","진천","5","1","3","1","0","0","0","5","0","0","0","0","0","2","1","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0"
"202304","부산북부","20","12","5","3","0","0","0","19","1","0","5","2","1","6","2","2","2","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","4","1","2","3","1","4","0","2"
"202304","경남청","1","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"202304","공주","8","5","0","3","0","0","0","8","0","0","2","2","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0","3"
"202304","부산해운대","66","40","12","14","0","0","0","63","3","0","10","8","7","10","12","5","14","8","0","0","0","0","0","0","0","4","0","0","0","1","2","3","3","4","3","2","6","5","12","9","4"
"202304","대구남부","14","5","4","5","0","0","1","13","0","0","2","2","1","0","3","4","2","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","3","2","0","0","1","4","0","1"
"202304","서울남대문","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"202304","상주","2","2","0","0","0","0","0","2","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"202304","부산영도","4","0","3","1","0","0","0","4","0","0","0","0","0","0","0","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0"
"202304","인천남동","85","37","14","34","0","0","1","83","1","0","11","6","2","8","16","17","25","2","1","0","1","7","5","0","0","0","0","0","0","0","0","2","2","5","9","7","8","8","13","6","9"
"202304","서울종로","7","5","0","2","0","0","0","7","0","0","2","0","0","0","1","1","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","1"
"202304","영암","2","1","1","0","0","0","0","2","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0"
"202304","군산","39","21","4","14","0","0","2","32","5","0","4","0","5","11","5","4","10","0","1","1","0","0","0","0","0","0","1","0","0","0","2","0","0","2","0","3","3","4","8","12","2"
